"","Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"11274",77,141,0,"A_25_P00010475","hsa-miR-100-5p",-3.11906461286466,8.50839140630362,-5.74924024464213,1.56625073342605e-05,0.00161314024685246,3.19182548772964
"51051",351,18,0,"A_25_P00012001","hsa-miR-26b-5p",-2.87611560923453,8.83025633232453,-5.74851265698683,1.56869858420989e-05,0.00161314024685246,3.19032404671215
"48148",331,14,0,"A_25_P00011999","hsa-miR-26a-5p",-2.79446079530429,11.2733993910621,-5.74011899891649,1.59722317985939e-05,0.00163899602670363,3.17299815734592
"22585",155,61,0,"A_25_P00012311","hsa-miR-362-3p",-1.61829822454177,6.16510614270953,-5.7394000579661,1.59969100458013e-05,0.00163899602670363,3.17151373143528
"30195",207,44,0,"A_25_P00011998","hsa-miR-26a-5p",-2.83710035941966,9.64557811179048,-5.73802584621345,1.60441899177227e-05,0.00164084047399426,3.16867616046472
"46550",320,26,0,"A_25_P00011998","hsa-miR-26a-5p",-2.79541237552013,9.60321697648804,-5.72943548320188,1.63430091904865e-05,0.00166230055729878,3.15093276955112
"51757",355,146,0,"A_25_P00011999","hsa-miR-26a-5p",-2.72790167166951,11.277636325053,-5.72618591231506,1.64575299531475e-05,0.00167091632009819,3.14421836141794
"24735",170,18,0,"A_25_P00010400","hsa-miR-204-5p",-1.90440534469749,6.10730725464453,-5.72356577052158,1.65504678013794e-05,0.00167095043003286,3.138803541421
"52519",361,33,0,"A_25_P00010474","hsa-miR-100-5p",-3.55939462391186,9.83044518229498,-5.72332687788265,1.65589681900679e-05,0.00167095043003286,3.13830979981884
"47080",323,126,0,"A_25_P00010475","hsa-miR-100-5p",-3.27124233962652,8.47892190252881,-5.72038033677978,1.66641824203271e-05,0.00167095043003286,3.13221932067791
"47700",327,158,0,"A_25_P00010474","hsa-miR-100-5p",-3.56439442031208,9.70646835577322,-5.72006076991993,1.66756345662892e-05,0.00167095043003286,3.13155871281575
"48250",331,128,0,"A_25_P00011998","hsa-miR-26a-5p",-2.82334988715386,9.62528746388828,-5.71993840014668,1.66800220034717e-05,0.00167095043003286,3.1313057469166
"45722",314,70,0,"A_25_P00014179","hsa-miR-532-5p",-2.21412346693656,7.69873954440491,-5.7183716426722,1.67363011654281e-05,0.00167095043003286,3.12806674020201
"29617",203,35,0,"A_25_P00014178","hsa-miR-532-5p",-1.72593094499972,6.6892696150766,-5.71792180902445,1.67524955074467e-05,0.00167095043003286,3.12713672817596
"41357",284,26,0,"A_25_P00013427","hsa-miR-145-3p",-1.16077686774903,5.94343493265215,-5.71749838062039,1.67677539274668e-05,0.00167095043003286,3.12626128470169
"33997",233,79,0,"A_25_P00012002","hsa-miR-26b-5p",-2.80365139180463,9.57547966785206,-5.71702720429585,1.67847497224042e-05,0.00167095043003286,3.12528709539859
"49724",342,13,0,"A_25_P00010769","hsa-miR-195-5p",-4.05310516105077,9.40608157715138,-5.71699725458885,1.678583063501e-05,0.00167095043003286,3.12522517138899
"13507",93,50,0,"A_25_P00012001","hsa-miR-26b-5p",-2.83667177182214,8.91218472973507,-5.71422768634545,1.68860961460688e-05,0.00167795101491185,3.11949832690843
"47335",325,77,0,"A_25_P00012002","hsa-miR-26b-5p",-2.85522912439572,9.52147157683457,-5.70882355888925,1.70835121022009e-05,0.00169456345531991,3.1083210421167
"12604",87,10,0,"A_25_P00010474","hsa-miR-100-5p",-3.4952389680284,9.71552927863523,-5.70503327639014,1.72233844815488e-05,0.00170541936375251,3.10047947326793
"30146",206,154,0,"A_25_P00010474","hsa-miR-100-5p",-3.51519104379907,9.79563744688429,-5.70235623143263,1.73228825076996e-05,0.00170785637397093,3.09493995777599
"45984",316,39,0,"A_25_P00012311","hsa-miR-362-3p",-1.63353151859516,5.99984707958904,-5.69525050332607,1.75898509694257e-05,0.00172727226542613,3.08023199016801
"50610",348,24,0,"A_25_P00012001","hsa-miR-26b-5p",-2.93536995514521,8.81170546552702,-5.69428592574252,1.76264148936955e-05,0.00172727226542613,3.07823495065239
"49369",339,98,0,"A_25_P00013484","hsa-miR-29c-5p",-1.44810147254327,6.6590668228834,-5.69421777869748,1.76290010674425e-05,0.00172727226542613,3.07809385618047
"1497",10,144,0,"A_25_P00010130","hsa-miR-497-5p",-2.10689906915328,6.95535371124042,-5.69183886461374,1.7719524950279e-05,0.00173311179112293,3.07316809167165
"27201",186,129,0,"A_25_P00012002","hsa-miR-26b-5p",-2.82195869078345,9.57202970155321,-5.69046540182177,1.77720057170591e-05,0.00173521653032554,3.07032388791274
"23424",160,164,0,"A_25_P00012002","hsa-miR-26b-5p",-2.73931978521074,9.3721106292301,-5.67765255459585,1.82693384396353e-05,0.00177450052601546,3.04377942001124
"7572",52,69,0,"A_25_P00011999","hsa-miR-26a-5p",-2.7531962618828,11.3896460223996,-5.67608074334751,1.83313236509421e-05,0.00177559760128405,3.04052168676449
"48044",330,62,0,"A_25_P00013436","hsa-miR-136-3p",-1.3751769594123,5.84807351149497,-5.67576002612123,1.83439977721694e-05,0.00177559760128405,3.03985693126353
"15163",104,107,0,"A_25_P00013484","hsa-miR-29c-5p",-1.35872854476846,6.73288262551711,-5.65761165696413,1.90760245349921e-05,0.00182804767442465,3.00221984475102
"30518",209,82,0,"A_25_P00012001","hsa-miR-26b-5p",-2.89330590232896,8.97302466171854,-5.65658695152948,1.91182393271828e-05,0.00182804767442465,3.00009354444847
"52997",364,69,0,"A_25_P00011998","hsa-miR-26a-5p",-2.82280338909531,9.59939633623971,-5.65616027335251,1.91358454209279e-05,0.00182804767442465,2.99920813397221
"11452",79,22,0,"A_25_P00010474","hsa-miR-100-5p",-3.55771680908218,9.76198958851363,-5.65499970249322,1.91838183973355e-05,0.00182804767442465,2.99679969142171
"18759",129,36,0,"A_25_P00014589","hsa-miR-125b-2-3p",-1.30068058204084,6.41041952894841,-5.65484809336608,1.91900943615773e-05,0.00182804767442465,2.99648505655979
"25769",177,18,0,"A_25_P00010474","hsa-miR-100-5p",-3.51525120450283,9.79271306357571,-5.65480707165425,1.91917928453866e-05,0.00182804767442465,2.99639992359685
"38012",261,17,0,"A_25_P00010474","hsa-miR-100-5p",-3.53638843237204,9.83223697080256,-5.65431812989348,1.92120491084883e-05,0.00182804767442465,2.99538519964741
"18013",124,20,0,"A_25_P00010980","hsa-miR-125b-5p",-3.66103229039816,10.2487614786438,-5.65105214823031,1.93479181387582e-05,0.00183785546469248,2.98860640086354
"18654",128,85,0,"A_25_P00010474","hsa-miR-100-5p",-3.55967003676762,10.0407360889399,-5.64866530281307,1.94478366783965e-05,0.00184386898402556,2.98365149018883
"16717",115,52,0,"A_25_P00014179","hsa-miR-532-5p",-2.18436236216506,7.754092500979,-5.64797040589716,1.94770258822199e-05,0.00184386898402556,2.98220880547065
"43699",300,39,0,"A_25_P00010474","hsa-miR-100-5p",-3.60388630941782,9.89292092771075,-5.64443138535243,1.96263810634317e-05,0.0018548750426964,2.97486048027758
"12244",84,94,0,"A_25_P00015043","hsa-miR-1271-5p",-1.79050662186914,6.32128961189767,-5.63874688110697,1.98687426932296e-05,0.00187461921801239,2.96305412426099
"40927",281,43,0,"A_25_P00011998","hsa-miR-26a-5p",-2.87027323143658,9.62846475826436,-5.63597838859885,1.9987887523747e-05,0.00188269103929559,2.95730271071941
"23051",158,74,0,"A_25_P00010130","hsa-miR-497-5p",-2.21560689145191,6.98947409082596,-5.63435693367696,2.00580082726177e-05,0.00188296652534437,2.95393377971861
"24610",169,35,0,"A_25_P00014178","hsa-miR-532-5p",-1.69495961254747,6.68470515980391,-5.63210552684763,2.01557900088021e-05,0.00188405316372866,2.94925545275659
"50153",344,164,0,"A_25_P00010460","hsa-miR-660-5p",-1.19088311078218,6.06270022025161,-5.63204655311137,2.01583578770808e-05,0.00188405316372866,2.94913289955486
"1824",13,14,0,"A_25_P00014178","hsa-miR-532-5p",-1.64784366275488,6.63790887159159,-5.63134891600279,2.01887602509088e-05,0.00188405316372866,2.94768310913704
"9459",65,56,0,"A_25_P00010130","hsa-miR-497-5p",-2.19261589163873,6.99897362299492,-5.63099840126618,2.02040530904454e-05,0.00188405316372866,2.94695466663733
"53620",368,114,0,"A_25_P00014589","hsa-miR-125b-2-3p",-1.35985577923412,6.36192374171163,-5.62653103351833,2.04000061223332e-05,0.00189916601847183,2.93766923738498
"3852",26,154,0,"A_25_P00012002","hsa-miR-26b-5p",-2.78978944543603,9.41910691408098,-5.62500986545463,2.0467173094281e-05,0.00190225911923032,2.9345069335864
"12170",84,12,0,"A_25_P00010475","hsa-miR-100-5p",-2.97742978818047,8.42365864946091,-5.62260295524967,2.05739132902303e-05,0.00190901390138687,2.92950271644762
"48491",333,75,0,"A_25_P00014179","hsa-miR-532-5p",-2.16369396552443,7.69791700096195,-5.60651160104304,2.13023346578671e-05,0.00196683367967958,2.89602906723991
"28488",195,86,0,"A_25_P00011998","hsa-miR-26a-5p",-2.82524801816519,9.64829797666837,-5.60405281575367,2.14159443647579e-05,0.00197407102956989,2.89091148029949
"3609",25,43,0,"A_25_P00014179","hsa-miR-532-5p",-2.09535597892377,7.54868465922943,-5.59574838184183,2.18042666400481e-05,0.00200656538518039,2.8736216779881
"41842",287,85,0,"A_25_P00010474","hsa-miR-100-5p",-3.54175883348754,10.0504346776005,-5.59490819162236,2.18439544520584e-05,0.00200692226772322,2.87187194235579
